# File: oem_prod.csv
# Title: oem production by country and sector
# Units: numbers
# Description: dummy
# Source: siam report to be changed
# Column types: cinnnnnnnnnnc
# ----------
iso,year,ICE Passenger vehicles,EV Passenger vehicles,ICE HCV,EV HCV,ICE LCV,EV LCV,3W,E 3W,E 2W,2W,unit_prod
dza,1972,0,0,0,0,0,0,0,0,0,0,vehicle
ecu,1972,0,0,0,0,0,0,0,0,0,0,vehicle
egy,1972,0,0,0,0,0,0,0,0,0,0,vehicle
esp,1972,0,0,0,0,0,0,0,0,0,0,vehicle
est,1972,0,0,0,0,0,0,0,0,0,0,vehicle
fin,1972,0,0,0,0,0,0,0,0,0,0,vehicle
fra,1972,0,0,0,0,0,0,0,0,0,0,vehicle
gbr,1972,0,0,0,0,0,0,0,0,0,0,vehicle
gha,1972,0,0,0,0,0,0,0,0,0,0,vehicle
grc,1972,0,0,0,0,0,0,0,0,0,0,vehicle
gtm,1972,0,0,0,0,0,0,0,0,0,0,vehicle
hrv,1972,0,0,0,0,0,0,0,0,0,0,vehicle
hun,1972,0,0,0,0,0,0,0,0,0,0,vehicle
idn,1972,0,0,0,0,0,0,0,0,0,0,vehicle
ind,1972,0,0,0,0,0,0,0,0,0,0,vehicle
irl,1972,0,0,0,0,0,0,0,0,0,0,vehicle
irn,1972,0,0,0,0,0,0,0,0,0,0,vehicle
isr,1972,0,0,0,0,0,0,0,0,0,0,vehicle
ita,1972,0,0,0,0,0,0,0,0,0,0,vehicle
jor,1972,0,0,0,0,0,0,0,0,0,0,vehicle
jpn,1972,0,0,0,0,0,0,0,0,0,0,vehicle
kaz,1972,0,0,0,0,0,0,0,0,0,0,vehicle
ken,1972,0,0,0,0,0,0,0,0,0,0,vehicle
kor,1972,0,0,0,0,0,0,0,0,0,0,vehicle
lby,1972,0,0,0,0,0,0,0,0,0,0,vehicle
lka,1972,0,0,0,0,0,0,0,0,0,0,vehicle
lux,1972,0,0,0,0,0,0,0,0,0,0,vehicle
lva,1972,0,0,0,0,0,0,0,0,0,0,vehicle
mar,1972,0,0,0,0,0,0,0,0,0,0,vehicle
mda,1972,0,0,0,0,0,0,0,0,0,0,vehicle
mex,1972,0,0,0,0,0,0,0,0,0,0,vehicle
mkd,1972,0,0,0,0,0,0,0,0,0,0,vehicle
mmr,1972,0,0,0,0,0,0,0,0,0,0,vehicle
mys,1972,0,0,0,0,0,0,0,0,0,0,vehicle
nld,1972,0,0,0,0,0,0,0,0,0,0,vehicle
nor,1972,0,0,0,0,0,0,0,0,0,0,vehicle
nzl,1972,0,0,0,0,0,0,0,0,0,0,vehicle
pak,1972,0,0,0,0,0,0,0,0,0,0,vehicle
per,1972,0,0,0,0,0,0,0,0,0,0,vehicle
phl,1972,0,0,0,0,0,0,0,0,0,0,vehicle
pol,1972,0,0,0,0,0,0,0,0,0,0,vehicle
prk,1972,0,0,0,0,0,0,0,0,0,0,vehicle
prt,1972,0,0,0,0,0,0,0,0,0,0,vehicle
pry,1972,0,0,0,0,0,0,0,0,0,0,vehicle
qat,1972,0,0,0,0,0,0,0,0,0,0,vehicle
rom,1972,0,0,0,0,0,0,0,0,0,0,vehicle
rus,1972,0,0,0,0,0,0,0,0,0,0,vehicle
sau,1972,0,0,0,0,0,0,0,0,0,0,vehicle
sgp,1972,0,0,0,0,0,0,0,0,0,0,vehicle
slv,1972,0,0,0,0,0,0,0,0,0,0,vehicle
svk,1972,0,0,0,0,0,0,0,0,0,0,vehicle
svn,1972,0,0,0,0,0,0,0,0,0,0,vehicle
swe,1972,0,0,0,0,0,0,0,0,0,0,vehicle
syr,1972,0,0,0,0,0,0,0,0,0,0,vehicle
tha,1972,0,0,0,0,0,0,0,0,0,0,vehicle
tto,1972,0,0,0,0,0,0,0,0,0,0,vehicle
tun,1972,0,0,0,0,0,0,0,0,0,0,vehicle
tur,1972,0,0,0,0,0,0,0,0,0,0,vehicle
twn,1972,0,0,0,0,0,0,0,0,0,0,vehicle
ukr,1972,0,0,0,0,0,0,0,0,0,0,vehicle
ury,1972,0,0,0,0,0,0,0,0,0,0,vehicle
usa,1972,0,0,0,0,0,0,0,0,0,0,vehicle
uzb,1972,0,0,0,0,0,0,0,0,0,0,vehicle
ven,1972,0,0,0,0,0,0,0,0,0,0,vehicle
vnm,1972,0,0,0,0,0,0,0,0,0,0,vehicle
zaf,1972,0,0,0,0,0,0,0,0,0,0,vehicle
alb,1973,0,0,0,0,0,0,0,0,0,0,vehicle
are,1973,0,0,0,0,0,0,0,0,0,0,vehicle
arg,1973,0,0,0,0,0,0,0,0,0,0,vehicle
aus,1973,0,0,0,0,0,0,0,0,0,0,vehicle
aut,1973,0,0,0,0,0,0,0,0,0,0,vehicle
bel,1973,0,0,0,0,0,0,0,0,0,0,vehicle
bgr,1973,0,0,0,0,0,0,0,0,0,0,vehicle
bih,1973,0,0,0,0,0,0,0,0,0,0,vehicle
blr,1973,0,0,0,0,0,0,0,0,0,0,vehicle
bra,1973,0,0,0,0,0,0,0,0,0,0,vehicle
can,1973,0,0,0,0,0,0,0,0,0,0,vehicle
che,1973,0,0,0,0,0,0,0,0,0,0,vehicle
chl,1973,0,0,0,0,0,0,0,0,0,0,vehicle
chn,1973,0,0,0,0,0,0,0,0,0,0,vehicle
col,1973,0,0,0,0,0,0,0,0,0,0,vehicle
cub,1973,0,0,0,0,0,0,0,0,0,0,vehicle
cze,1973,0,0,0,0,0,0,0,0,0,0,vehicle
deu,1973,0,0,0,0,0,0,0,0,0,0,vehicle
dnk,1973,0,0,0,0,0,0,0,0,0,0,vehicle
dom,1973,0,0,0,0,0,0,0,0,0,0,vehicle
dza,1973,0,0,0,0,0,0,0,0,0,0,vehicle
ecu,1973,0,0,0,0,0,0,0,0,0,0,vehicle
egy,1973,0,0,0,0,0,0,0,0,0,0,vehicle
esp,1973,0,0,0,0,0,0,0,0,0,0,vehicle
est,1973,0,0,0,0,0,0,0,0,0,0,vehicle
fin,1973,0,0,0,0,0,0,0,0,0,0,vehicle
fra,1973,0,0,0,0,0,0,0,0,0,0,vehicle
gbr,1973,0,0,0,0,0,0,0,0,0,0,vehicle
gha,1973,0,0,0,0,0,0,0,0,0,0,vehicle
grc,1973,0,0,0,0,0,0,0,0,0,0,vehicle
gtm,1973,0,0,0,0,0,0,0,0,0,0,vehicle
hrv,1973,0,0,0,0,0,0,0,0,0,0,vehicle
hun,1973,0,0,0,0,0,0,0,0,0,0,vehicle
idn,1973,0,0,0,0,0,0,0,0,0,0,vehicle
ind,1973,0,0,0,0,0,0,0,0,0,0,vehicle
irl,1973,0,0,0,0,0,0,0,0,0,0,vehicle
irn,1973,0,0,0,0,0,0,0,0,0,0,vehicle
isr,1973,0,0,0,0,0,0,0,0,0,0,vehicle
ita,1973,0,0,0,0,0,0,0,0,0,0,vehicle
jor,1973,0,0,0,0,0,0,0,0,0,0,vehicle
jpn,1973,0,0,0,0,0,0,0,0,0,0,vehicle
kaz,1973,0,0,0,0,0,0,0,0,0,0,vehicle
ken,1973,0,0,0,0,0,0,0,0,0,0,vehicle
kor,1973,0,0,0,0,0,0,0,0,0,0,vehicle
lby,1973,0,0,0,0,0,0,0,0,0,0,vehicle
lka,1973,0,0,0,0,0,0,0,0,0,0,vehicle
lux,1973,0,0,0,0,0,0,0,0,0,0,vehicle
lva,1973,0,0,0,0,0,0,0,0,0,0,vehicle
mar,1973,0,0,0,0,0,0,0,0,0,0,vehicle
mda,1973,0,0,0,0,0,0,0,0,0,0,vehicle
mex,1973,0,0,0,0,0,0,0,0,0,0,vehicle
mkd,1973,0,0,0,0,0,0,0,0,0,0,vehicle
mmr,1973,0,0,0,0,0,0,0,0,0,0,vehicle
mys,1973,0,0,0,0,0,0,0,0,0,0,vehicle
nld,1973,0,0,0,0,0,0,0,0,0,0,vehicle
nor,1973,0,0,0,0,0,0,0,0,0,0,vehicle
nzl,1973,0,0,0,0,0,0,0,0,0,0,vehicle
pak,1973,0,0,0,0,0,0,0,0,0,0,vehicle
per,1973,0,0,0,0,0,0,0,0,0,0,vehicle
phl,1973,0,0,0,0,0,0,0,0,0,0,vehicle
pol,1973,0,0,0,0,0,0,0,0,0,0,vehicle
prk,1973,0,0,0,0,0,0,0,0,0,0,vehicle
prt,1973,0,0,0,0,0,0,0,0,0,0,vehicle
pry,1973,0,0,0,0,0,0,0,0,0,0,vehicle
qat,1973,0,0,0,0,0,0,0,0,0,0,vehicle
rom,1973,0,0,0,0,0,0,0,0,0,0,vehicle
rus,1973,0,0,0,0,0,0,0,0,0,0,vehicle
sau,1973,0,0,0,0,0,0,0,0,0,0,vehicle
sgp,1973,0,0,0,0,0,0,0,0,0,0,vehicle
slv,1973,0,0,0,0,0,0,0,0,0,0,vehicle
svk,1973,0,0,0,0,0,0,0,0,0,0,vehicle
svn,1973,0,0,0,0,0,0,0,0,0,0,vehicle
swe,1973,0,0,0,0,0,0,0,0,0,0,vehicle
syr,1973,0,0,0,0,0,0,0,0,0,0,vehicle
tha,1973,0,0,0,0,0,0,0,0,0,0,vehicle
tto,1973,0,0,0,0,0,0,0,0,0,0,vehicle
tun,1973,0,0,0,0,0,0,0,0,0,0,vehicle
tur,1973,0,0,0,0,0,0,0,0,0,0,vehicle
twn,1973,0,0,0,0,0,0,0,0,0,0,vehicle
ukr,1973,0,0,0,0,0,0,0,0,0,0,vehicle
ury,1973,0,0,0,0,0,0,0,0,0,0,vehicle
usa,1973,0,0,0,0,0,0,0,0,0,0,vehicle
uzb,1973,0,0,0,0,0,0,0,0,0,0,vehicle
ven,1973,0,0,0,0,0,0,0,0,0,0,vehicle
vnm,1973,0,0,0,0,0,0,0,0,0,0,vehicle
zaf,1973,0,0,0,0,0,0,0,0,0,0,vehicle
alb,1974,0,0,0,0,0,0,0,0,0,0,vehicle
are,1974,0,0,0,0,0,0,0,0,0,0,vehicle
arg,1974,0,0,0,0,0,0,0,0,0,0,vehicle
aus,1974,0,0,0,0,0,0,0,0,0,0,vehicle
aut,1974,0,0,0,0,0,0,0,0,0,0,vehicle
bel,1974,0,0,0,0,0,0,0,0,0,0,vehicle
bgr,1974,0,0,0,0,0,0,0,0,0,0,vehicle
bih,1974,0,0,0,0,0,0,0,0,0,0,vehicle
blr,1974,0,0,0,0,0,0,0,0,0,0,vehicle
bra,1974,0,0,0,0,0,0,0,0,0,0,vehicle
can,1974,0,0,0,0,0,0,0,0,0,0,vehicle
che,1974,0,0,0,0,0,0,0,0,0,0,vehicle
chl,1974,0,0,0,0,0,0,0,0,0,0,vehicle
chn,1974,0,0,0,0,0,0,0,0,0,0,vehicle
col,1974,0,0,0,0,0,0,0,0,0,0,vehicle
cub,1974,0,0,0,0,0,0,0,0,0,0,vehicle
cze,1974,0,0,0,0,0,0,0,0,0,0,vehicle
deu,1974,0,0,0,0,0,0,0,0,0,0,vehicle
dnk,1974,0,0,0,0,0,0,0,0,0,0,vehicle
dom,1974,0,0,0,0,0,0,0,0,0,0,vehicle
dza,1974,0,0,0,0,0,0,0,0,0,0,vehicle
ecu,1974,0,0,0,0,0,0,0,0,0,0,vehicle
egy,1974,0,0,0,0,0,0,0,0,0,0,vehicle
esp,1974,0,0,0,0,0,0,0,0,0,0,vehicle
est,1974,0,0,0,0,0,0,0,0,0,0,vehicle
fin,1974,0,0,0,0,0,0,0,0,0,0,vehicle
fra,1974,0,0,0,0,0,0,0,0,0,0,vehicle
gbr,1974,0,0,0,0,0,0,0,0,0,0,vehicle
gha,1974,0,0,0,0,0,0,0,0,0,0,vehicle
grc,1974,0,0,0,0,0,0,0,0,0,0,vehicle
gtm,1974,0,0,0,0,0,0,0,0,0,0,vehicle
hrv,1974,0,0,0,0,0,0,0,0,0,0,vehicle
hun,1974,0,0,0,0,0,0,0,0,0,0,vehicle
idn,1974,0,0,0,0,0,0,0,0,0,0,vehicle
ind,1974,0,0,0,0,0,0,0,0,0,0,vehicle
irl,1974,0,0,0,0,0,0,0,0,0,0,vehicle
irn,1974,0,0,0,0,0,0,0,0,0,0,vehicle
isr,1974,0,0,0,0,0,0,0,0,0,0,vehicle
ita,1974,0,0,0,0,0,0,0,0,0,0,vehicle
jor,1974,0,0,0,0,0,0,0,0,0,0,vehicle
jpn,1974,0,0,0,0,0,0,0,0,0,0,vehicle
kaz,1974,0,0,0,0,0,0,0,0,0,0,vehicle
ken,1974,0,0,0,0,0,0,0,0,0,0,vehicle
kor,1974,0,0,0,0,0,0,0,0,0,0,vehicle
lby,1974,0,0,0,0,0,0,0,0,0,0,vehicle
lka,1974,0,0,0,0,0,0,0,0,0,0,vehicle
lux,1974,0,0,0,0,0,0,0,0,0,0,vehicle
lva,1974,0,0,0,0,0,0,0,0,0,0,vehicle
mar,1974,0,0,0,0,0,0,0,0,0,0,vehicle
mda,1974,0,0,0,0,0,0,0,0,0,0,vehicle
mex,1974,0,0,0,0,0,0,0,0,0,0,vehicle
mkd,1974,0,0,0,0,0,0,0,0,0,0,vehicle
mmr,1974,0,0,0,0,0,0,0,0,0,0,vehicle
mys,1974,0,0,0,0,0,0,0,0,0,0,vehicle
nld,1974,0,0,0,0,0,0,0,0,0,0,vehicle
nor,1974,0,0,0,0,0,0,0,0,0,0,vehicle
nzl,1974,0,0,0,0,0,0,0,0,0,0,vehicle
pak,1974,0,0,0,0,0,0,0,0,0,0,vehicle
per,1974,0,0,0,0,0,0,0,0,0,0,vehicle
phl,1974,0,0,0,0,0,0,0,0,0,0,vehicle
pol,1974,0,0,0,0,0,0,0,0,0,0,vehicle
prk,1974,0,0,0,0,0,0,0,0,0,0,vehicle
prt,1974,0,0,0,0,0,0,0,0,0,0,vehicle
pry,1974,0,0,0,0,0,0,0,0,0,0,vehicle
qat,1974,0,0,0,0,0,0,0,0,0,0,vehicle
rom,1974,0,0,0,0,0,0,0,0,0,0,vehicle
rus,1974,0,0,0,0,0,0,0,0,0,0,vehicle
sau,1974,0,0,0,0,0,0,0,0,0,0,vehicle
sgp,1974,0,0,0,0,0,0,0,0,0,0,vehicle
slv,1974,0,0,0,0,0,0,0,0,0,0,vehicle
svk,1974,0,0,0,0,0,0,0,0,0,0,vehicle
svn,1974,0,0,0,0,0,0,0,0,0,0,vehicle
swe,1974,0,0,0,0,0,0,0,0,0,0,vehicle
syr,1974,0,0,0,0,0,0,0,0,0,0,vehicle
tha,1974,0,0,0,0,0,0,0,0,0,0,vehicle
tto,1974,0,0,0,0,0,0,0,0,0,0,vehicle
tun,1974,0,0,0,0,0,0,0,0,0,0,vehicle
tur,1974,0,0,0,0,0,0,0,0,0,0,vehicle
twn,1974,0,0,0,0,0,0,0,0,0,0,vehicle
ukr,1974,0,0,0,0,0,0,0,0,0,0,vehicle
ury,1974,0,0,0,0,0,0,0,0,0,0,vehicle
usa,1974,0,0,0,0,0,0,0,0,0,0,vehicle
uzb,1974,0,0,0,0,0,0,0,0,0,0,vehicle
ven,1974,0,0,0,0,0,0,0,0,0,0,vehicle
vnm,1974,0,0,0,0,0,0,0,0,0,0,vehicle
zaf,1974,0,0,0,0,0,0,0,0,0,0,vehicle
alb,1975,0,0,0,0,0,0,0,0,0,0,vehicle
are,1975,0,0,0,0,0,0,0,0,0,0,vehicle
arg,1975,0,0,0,0,0,0,0,0,0,0,vehicle
aus,1975,0,0,0,0,0,0,0,0,0,0,vehicle
aut,1975,0,0,0,0,0,0,0,0,0,0,vehicle
bel,1975,0,0,0,0,0,0,0,0,0,0,vehicle
bgr,1975,0,0,0,0,0,0,0,0,0,0,vehicle
bih,1975,0,0,0,0,0,0,0,0,0,0,vehicle
blr,1975,0,0,0,0,0,0,0,0,0,0,vehicle
bra,1975,0,0,0,0,0,0,0,0,0,0,vehicle
can,1975,0,0,0,0,0,0,0,0,0,0,vehicle
che,1975,0,0,0,0,0,0,0,0,0,0,vehicle
chl,1975,0,0,0,0,0,0,0,0,0,0,vehicle
chn,1975,0,0,0,0,0,0,0,0,0,0,vehicle
col,1975,0,0,0,0,0,0,0,0,0,0,vehicle
cub,1975,0,0,0,0,0,0,0,0,0,0,vehicle
cze,1975,0,0,0,0,0,0,0,0,0,0,vehicle
deu,1975,0,0,0,0,0,0,0,0,0,0,vehicle
dnk,1975,0,0,0,0,0,0,0,0,0,0,vehicle
dom,1975,0,0,0,0,0,0,0,0,0,0,vehicle
dza,1975,0,0,0,0,0,0,0,0,0,0,vehicle
ecu,1975,0,0,0,0,0,0,0,0,0,0,vehicle
egy,1975,0,0,0,0,0,0,0,0,0,0,vehicle
esp,1975,0,0,0,0,0,0,0,0,0,0,vehicle
est,1975,0,0,0,0,0,0,0,0,0,0,vehicle
fin,1975,0,0,0,0,0,0,0,0,0,0,vehicle
fra,1975,0,0,0,0,0,0,0,0,0,0,vehicle
gbr,1975,0,0,0,0,0,0,0,0,0,0,vehicle
gha,1975,0,0,0,0,0,0,0,0,0,0,vehicle
grc,1975,0,0,0,0,0,0,0,0,0,0,vehicle
gtm,1975,0,0,0,0,0,0,0,0,0,0,vehicle
hrv,1975,0,0,0,0,0,0,0,0,0,0,vehicle
hun,1975,0,0,0,0,0,0,0,0,0,0,vehicle
idn,1975,0,0,0,0,0,0,0,0,0,0,vehicle
ind,1975,0,0,0,0,0,0,0,0,0,0,vehicle
irl,1975,0,0,0,0,0,0,0,0,0,0,vehicle
irn,1975,0,0,0,0,0,0,0,0,0,0,vehicle
isr,1975,0,0,0,0,0,0,0,0,0,0,vehicle
ita,1975,0,0,0,0,0,0,0,0,0,0,vehicle
jor,1975,0,0,0,0,0,0,0,0,0,0,vehicle
jpn,1975,0,0,0,0,0,0,0,0,0,0,vehicle
kaz,1975,0,0,0,0,0,0,0,0,0,0,vehicle
ken,1975,0,0,0,0,0,0,0,0,0,0,vehicle
kor,1975,0,0,0,0,0,0,0,0,0,0,vehicle
lby,1975,0,0,0,0,0,0,0,0,0,0,vehicle
lka,1975,0,0,0,0,0,0,0,0,0,0,vehicle
lux,1975,0,0,0,0,0,0,0,0,0,0,vehicle
lva,1975,0,0,0,0,0,0,0,0,0,0,vehicle
mar,1975,0,0,0,0,0,0,0,0,0,0,vehicle
mda,1975,0,0,0,0,0,0,0,0,0,0,vehicle
mex,1975,0,0,0,0,0,0,0,0,0,0,vehicle
mkd,1975,0,0,0,0,0,0,0,0,0,0,vehicle
mmr,1975,0,0,0,0,0,0,0,0,0,0,vehicle
mys,1975,0,0,0,0,0,0,0,0,0,0,vehicle
nld,1975,0,0,0,0,0,0,0,0,0,0,vehicle
nor,1975,0,0,0,0,0,0,0,0,0,0,vehicle
nzl,1975,0,0,0,0,0,0,0,0,0,0,vehicle
pak,1975,0,0,0,0,0,0,0,0,0,0,vehicle
per,1975,0,0,0,0,0,0,0,0,0,0,vehicle
phl,1975,0,0,0,0,0,0,0,0,0,0,vehicle
pol,1975,0,0,0,0,0,0,0,0,0,0,vehicle
prk,1975,0,0,0,0,0,0,0,0,0,0,vehicle
prt,1975,0,0,0,0,0,0,0,0,0,0,vehicle
pry,1975,0,0,0,0,0,0,0,0,0,0,vehicle
qat,1975,0,0,0,0,0,0,0,0,0,0,vehicle
rom,1975,0,0,0,0,0,0,0,0,0,0,vehicle
rus,1975,0,0,0,0,0,0,0,0,0,0,vehicle
sau,1975,0,0,0,0,0,0,0,0,0,0,vehicle
sgp,1975,0,0,0,0,0,0,0,0,0,0,vehicle
slv,1975,0,0,0,0,0,0,0,0,0,0,vehicle
svk,1975,0,0,0,0,0,0,0,0,0,0,vehicle
svn,1975,0,0,0,0,0,0,0,0,0,0,vehicle
swe,1975,0,0,0,0,0,0,0,0,0,0,vehicle
syr,1975,0,0,0,0,0,0,0,0,0,0,vehicle
tha,1975,0,0,0,0,0,0,0,0,0,0,vehicle
tto,1975,0,0,0,0,0,0,0,0,0,0,vehicle
tun,1975,0,0,0,0,0,0,0,0,0,0,vehicle
tur,1975,0,0,0,0,0,0,0,0,0,0,vehicle
twn,1975,0,0,0,0,0,0,0,0,0,0,vehicle
ukr,1975,0,0,0,0,0,0,0,0,0,0,vehicle
ury,1975,0,0,0,0,0,0,0,0,0,0,vehicle
usa,1975,0,0,0,0,0,0,0,0,0,0,vehicle
uzb,1975,0,0,0,0,0,0,0,0,0,0,vehicle
ven,1975,0,0,0,0,0,0,0,0,0,0,vehicle
vnm,1975,0,0,0,0,0,0,0,0,0,0,vehicle
zaf,1975,0,0,0,0,0,0,0,0,0,0,vehicle
alb,1976,0,0,0,0,0,0,0,0,0,0,vehicle
are,1976,0,0,0,0,0,0,0,0,0,0,vehicle
arg,1976,0,0,0,0,0,0,0,0,0,0,vehicle
aus,1976,0,0,0,0,0,0,0,0,0,0,vehicle
aut,1976,0,0,0,0,0,0,0,0,0,0,vehicle
bel,1976,0,0,0,0,0,0,0,0,0,0,vehicle
bgr,1976,0,0,0,0,0,0,0,0,0,0,vehicle
bih,1976,0,0,0,0,0,0,0,0,0,0,vehicle
blr,1976,0,0,0,0,0,0,0,0,0,0,vehicle
bra,1976,0,0,0,0,0,0,0,0,0,0,vehicle
