# File: parts_prod.csv
# Title: parts production by country and sector
# Units: numbers
# Description: dummy
# Source:  to be changed
# Column types: cinnnnnnnc
# ----------
iso,year,Bodies,Chassi,Seat,Engine,Electrical equipment,others,Battery,unit_prod
svn,1973,0,0,0,0,0,0,0,number
swe,1973,0,0,0,0,0,0,0,number
syr,1973,0,0,0,0,0,0,0,number
tha,1973,0,0,0,0,0,0,0,number
tto,1973,0,0,0,0,0,0,0,number
tun,1973,0,0,0,0,0,0,0,number
tur,1973,0,0,0,0,0,0,0,number
twn,1973,0,0,0,0,0,0,0,number
ukr,1973,0,0,0,0,0,0,0,number
ury,1973,0,0,0,0,0,0,0,number
usa,1973,0,0,0,0,0,0,0,number
uzb,1973,0,0,0,0,0,0,0,number
ven,1973,0,0,0,0,0,0,0,number
vnm,1973,0,0,0,0,0,0,0,number
zaf,1973,0,0,0,0,0,0,0,number
alb,1974,0,0,0,0,0,0,0,number
are,1974,0,0,0,0,0,0,0,number
arg,1974,0,0,0,0,0,0,0,number
aus,1974,0,0,0,0,0,0,0,number
aut,1974,0,0,0,0,0,0,0,number
bel,1974,0,0,0,0,0,0,0,number
bgr,1974,0,0,0,0,0,0,0,number
bih,1974,0,0,0,0,0,0,0,number
blr,1974,0,0,0,0,0,0,0,number
bra,1974,0,0,0,0,0,0,0,number
can,1974,0,0,0,0,0,0,0,number
che,1974,0,0,0,0,0,0,0,number
chl,1974,0,0,0,0,0,0,0,number
chn,1974,0,0,0,0,0,0,0,number
col,1974,0,0,0,0,0,0,0,number
cub,1974,0,0,0,0,0,0,0,number
cze,1974,0,0,0,0,0,0,0,number
deu,1974,0,0,0,0,0,0,0,number
dnk,1974,0,0,0,0,0,0,0,number
dom,1974,0,0,0,0,0,0,0,number
dza,1974,0,0,0,0,0,0,0,number
ecu,1974,0,0,0,0,0,0,0,number
egy,1974,0,0,0,0,0,0,0,number
esp,1974,0,0,0,0,0,0,0,number
est,1974,0,0,0,0,0,0,0,number
fin,1974,0,0,0,0,0,0,0,number
fra,1974,0,0,0,0,0,0,0,number
gbr,1974,0,0,0,0,0,0,0,number
gha,1974,0,0,0,0,0,0,0,number
grc,1974,0,0,0,0,0,0,0,number
gtm,1974,0,0,0,0,0,0,0,number
hrv,1974,0,0,0,0,0,0,0,number
hun,1974,0,0,0,0,0,0,0,number
idn,1974,0,0,0,0,0,0,0,number
ind,1974,0,0,0,0,0,0,0,number
irl,1974,0,0,0,0,0,0,0,number
irn,1974,0,0,0,0,0,0,0,number
isr,1974,0,0,0,0,0,0,0,number
ita,1974,0,0,0,0,0,0,0,number
jor,1974,0,0,0,0,0,0,0,number
jpn,1974,0,0,0,0,0,0,0,number
kaz,1974,0,0,0,0,0,0,0,number
ken,1974,0,0,0,0,0,0,0,number
kor,1974,0,0,0,0,0,0,0,number
lby,1974,0,0,0,0,0,0,0,number
lka,1974,0,0,0,0,0,0,0,number
lux,1974,0,0,0,0,0,0,0,number
lva,1974,0,0,0,0,0,0,0,number
mar,1974,0,0,0,0,0,0,0,number
mda,1974,0,0,0,0,0,0,0,number
mex,1974,0,0,0,0,0,0,0,number
mkd,1974,0,0,0,0,0,0,0,number
mmr,1974,0,0,0,0,0,0,0,number
mys,1974,0,0,0,0,0,0,0,number
nld,1974,0,0,0,0,0,0,0,number
nor,1974,0,0,0,0,0,0,0,number
nzl,1974,0,0,0,0,0,0,0,number
pak,1974,0,0,0,0,0,0,0,number
per,1974,0,0,0,0,0,0,0,number
phl,1974,0,0,0,0,0,0,0,number
pol,1974,0,0,0,0,0,0,0,number
prk,1974,0,0,0,0,0,0,0,number
prt,1974,0,0,0,0,0,0,0,number
pry,1974,0,0,0,0,0,0,0,number
qat,1974,0,0,0,0,0,0,0,number
rom,1974,0,0,0,0,0,0,0,number
rus,1974,0,0,0,0,0,0,0,number
sau,1974,0,0,0,0,0,0,0,number
sgp,1974,0,0,0,0,0,0,0,number
slv,1974,0,0,0,0,0,0,0,number
svk,1974,0,0,0,0,0,0,0,number
svn,1974,0,0,0,0,0,0,0,number
swe,1974,0,0,0,0,0,0,0,number
syr,1974,0,0,0,0,0,0,0,number
tha,1974,0,0,0,0,0,0,0,number
tto,1974,0,0,0,0,0,0,0,number
tun,1974,0,0,0,0,0,0,0,number
tur,1974,0,0,0,0,0,0,0,number
twn,1974,0,0,0,0,0,0,0,number
ukr,1974,0,0,0,0,0,0,0,number
ury,1974,0,0,0,0,0,0,0,number
usa,1974,0,0,0,0,0,0,0,number
uzb,1974,0,0,0,0,0,0,0,number
ven,1974,0,0,0,0,0,0,0,number
vnm,1974,0,0,0,0,0,0,0,number
zaf,1974,0,0,0,0,0,0,0,number
alb,1975,0,0,0,0,0,0,0,number
are,1975,0,0,0,0,0,0,0,number
arg,1975,0,0,0,0,0,0,0,number
aus,1975,0,0,0,0,0,0,0,number
aut,1975,0,0,0,0,0,0,0,number
bel,1975,0,0,0,0,0,0,0,number
bgr,1975,0,0,0,0,0,0,0,number
bih,1975,0,0,0,0,0,0,0,number
blr,1975,0,0,0,0,0,0,0,number
bra,1975,0,0,0,0,0,0,0,number
can,1975,0,0,0,0,0,0,0,number
che,1975,0,0,0,0,0,0,0,number
chl,1975,0,0,0,0,0,0,0,number
chn,1975,0,0,0,0,0,0,0,number
col,1975,0,0,0,0,0,0,0,number
cub,1975,0,0,0,0,0,0,0,number
cze,1975,0,0,0,0,0,0,0,number
deu,1975,0,0,0,0,0,0,0,number
dnk,1975,0,0,0,0,0,0,0,number
dom,1975,0,0,0,0,0,0,0,number
dza,1975,0,0,0,0,0,0,0,number
ecu,1975,0,0,0,0,0,0,0,number
egy,1975,0,0,0,0,0,0,0,number
esp,1975,0,0,0,0,0,0,0,number
est,1975,0,0,0,0,0,0,0,number
fin,1975,0,0,0,0,0,0,0,number
fra,1975,0,0,0,0,0,0,0,number
gbr,1975,0,0,0,0,0,0,0,number
gha,1975,0,0,0,0,0,0,0,number
grc,1975,0,0,0,0,0,0,0,number
gtm,1975,0,0,0,0,0,0,0,number
hrv,1975,0,0,0,0,0,0,0,number
hun,1975,0,0,0,0,0,0,0,number
idn,1975,0,0,0,0,0,0,0,number
ind,1975,0,0,0,0,0,0,0,number
irl,1975,0,0,0,0,0,0,0,number
irn,1975,0,0,0,0,0,0,0,number
isr,1975,0,0,0,0,0,0,0,number
ita,1975,0,0,0,0,0,0,0,number
jor,1975,0,0,0,0,0,0,0,number
jpn,1975,0,0,0,0,0,0,0,number
kaz,1975,0,0,0,0,0,0,0,number
ken,1975,0,0,0,0,0,0,0,number
kor,1975,0,0,0,0,0,0,0,number
lby,1975,0,0,0,0,0,0,0,number
lka,1975,0,0,0,0,0,0,0,number
lux,1975,0,0,0,0,0,0,0,number
lva,1975,0,0,0,0,0,0,0,number
mar,1975,0,0,0,0,0,0,0,number
mda,1975,0,0,0,0,0,0,0,number
mex,1975,0,0,0,0,0,0,0,number
mkd,1975,0,0,0,0,0,0,0,number
mmr,1975,0,0,0,0,0,0,0,number
mys,1975,0,0,0,0,0,0,0,number
nld,1975,0,0,0,0,0,0,0,number
nor,1975,0,0,0,0,0,0,0,number
nzl,1975,0,0,0,0,0,0,0,number
pak,1975,0,0,0,0,0,0,0,number
per,1975,0,0,0,0,0,0,0,number
phl,1975,0,0,0,0,0,0,0,number
pol,1975,0,0,0,0,0,0,0,number
prk,1975,0,0,0,0,0,0,0,number
prt,1975,0,0,0,0,0,0,0,number
pry,1975,0,0,0,0,0,0,0,number
qat,1975,0,0,0,0,0,0,0,number
rom,1975,0,0,0,0,0,0,0,number
rus,1975,0,0,0,0,0,0,0,number
sau,1975,0,0,0,0,0,0,0,number
sgp,1975,0,0,0,0,0,0,0,number
slv,1975,0,0,0,0,0,0,0,number
svk,1975,0,0,0,0,0,0,0,number
svn,1975,0,0,0,0,0,0,0,number
swe,1975,0,0,0,0,0,0,0,number
syr,1975,0,0,0,0,0,0,0,number
tha,1975,0,0,0,0,0,0,0,number
tto,1975,0,0,0,0,0,0,0,number
tun,1975,0,0,0,0,0,0,0,number
tur,1975,0,0,0,0,0,0,0,number
twn,1975,0,0,0,0,0,0,0,number
ukr,1975,0,0,0,0,0,0,0,number
ury,1975,0,0,0,0,0,0,0,number
usa,1975,0,0,0,0,0,0,0,number
uzb,1975,0,0,0,0,0,0,0,number
ven,1975,0,0,0,0,0,0,0,number
vnm,1975,0,0,0,0,0,0,0,number
zaf,1975,0,0,0,0,0,0,0,number
alb,1976,0,0,0,0,0,0,0,number
are,1976,0,0,0,0,0,0,0,number
arg,1976,0,0,0,0,0,0,0,number
aus,1976,0,0,0,0,0,0,0,number
aut,1976,0,0,0,0,0,0,0,number
bel,1976,0,0,0,0,0,0,0,number
bgr,1976,0,0,0,0,0,0,0,number
bih,1976,0,0,0,0,0,0,0,number
blr,1976,0,0,0,0,0,0,0,number
bra,1976,0,0,0,0,0,0,0,number
can,1976,0,0,0,0,0,0,0,number
che,1976,0,0,0,0,0,0,0,number
chl,1976,0,0,0,0,0,0,0,number
chn,1976,0,0,0,0,0,0,0,number
col,1976,0,0,0,0,0,0,0,number
cub,1976,0,0,0,0,0,0,0,number
cze,1976,0,0,0,0,0,0,0,number
deu,1976,0,0,0,0,0,0,0,number
dnk,1976,0,0,0,0,0,0,0,number
dom,1976,0,0,0,0,0,0,0,number
dza,1976,0,0,0,0,0,0,0,number
ecu,1976,0,0,0,0,0,0,0,number
egy,1976,0,0,0,0,0,0,0,number
esp,1976,0,0,0,0,0,0,0,number
est,1976,0,0,0,0,0,0,0,number
fin,1976,0,0,0,0,0,0,0,number
fra,1976,0,0,0,0,0,0,0,number
gbr,1976,0,0,0,0,0,0,0,number
gha,1976,0,0,0,0,0,0,0,number
grc,1976,0,0,0,0,0,0,0,number
gtm,1976,0,0,0,0,0,0,0,number
hrv,1976,0,0,0,0,0,0,0,number
hun,1976,0,0,0,0,0,0,0,number
idn,1976,0,0,0,0,0,0,0,number
ind,1976,0,0,0,0,0,0,0,number
irl,1976,0,0,0,0,0,0,0,number
irn,1976,0,0,0,0,0,0,0,number
isr,1976,0,0,0,0,0,0,0,number
ita,1976,0,0,0,0,0,0,0,number
jor,1976,0,0,0,0,0,0,0,number
jpn,1976,0,0,0,0,0,0,0,number
kaz,1976,0,0,0,0,0,0,0,number
ken,1976,0,0,0,0,0,0,0,number
kor,1976,0,0,0,0,0,0,0,number
lby,1976,0,0,0,0,0,0,0,number
lka,1976,0,0,0,0,0,0,0,number
lux,1976,0,0,0,0,0,0,0,number
lva,1976,0,0,0,0,0,0,0,number
mar,1976,0,0,0,0,0,0,0,number
mda,1976,0,0,0,0,0,0,0,number
mex,1976,0,0,0,0,0,0,0,number
mkd,1976,0,0,0,0,0,0,0,number
mmr,1976,0,0,0,0,0,0,0,number
mys,1976,0,0,0,0,0,0,0,number
nld,1976,0,0,0,0,0,0,0,number
nor,1976,0,0,0,0,0,0,0,number
nzl,1976,0,0,0,0,0,0,0,number
pak,1976,0,0,0,0,0,0,0,number
per,1976,0,0,0,0,0,0,0,number
phl,1976,0,0,0,0,0,0,0,number
pol,1976,0,0,0,0,0,0,0,number
prk,1976,0,0,0,0,0,0,0,number
prt,1976,0,0,0,0,0,0,0,number
pry,1976,0,0,0,0,0,0,0,number
qat,1976,0,0,0,0,0,0,0,number
rom,1976,0,0,0,0,0,0,0,number
rus,1976,0,0,0,0,0,0,0,number
sau,1976,0,0,0,0,0,0,0,number
sgp,1976,0,0,0,0,0,0,0,number
slv,1976,0,0,0,0,0,0,0,number
svk,1976,0,0,0,0,0,0,0,number
svn,1976,0,0,0,0,0,0,0,number
swe,1976,0,0,0,0,0,0,0,number
syr,1976,0,0,0,0,0,0,0,number
tha,1976,0,0,0,0,0,0,0,number
tto,1976,0,0,0,0,0,0,0,number
tun,1976,0,0,0,0,0,0,0,number
tur,1976,0,0,0,0,0,0,0,number
twn,1976,0,0,0,0,0,0,0,number
ukr,1976,0,0,0,0,0,0,0,number
ury,1976,0,0,0,0,0,0,0,number
usa,1976,0,0,0,0,0,0,0,number
uzb,1976,0,0,0,0,0,0,0,number
ven,1976,0,0,0,0,0,0,0,number
vnm,1976,0,0,0,0,0,0,0,number
zaf,1976,0,0,0,0,0,0,0,number
alb,1977,0,0,0,0,0,0,0,number
are,1977,0,0,0,0,0,0,0,number
arg,1977,0,0,0,0,0,0,0,number
aus,1977,0,0,0,0,0,0,0,number
aut,1977,0,0,0,0,0,0,0,number
bel,1977,0,0,0,0,0,0,0,number
bgr,1977,0,0,0,0,0,0,0,number
bih,1977,0,0,0,0,0,0,0,number
blr,1977,0,0,0,0,0,0,0,number
bra,1977,0,0,0,0,0,0,0,number
can,1977,0,0,0,0,0,0,0,number
che,1977,0,0,0,0,0,0,0,number
chl,1977,0,0,0,0,0,0,0,number
chn,1977,0,0,0,0,0,0,0,number
col,1977,0,0,0,0,0,0,0,number
cub,1977,0,0,0,0,0,0,0,number
cze,1977,0,0,0,0,0,0,0,number
deu,1977,0,0,0,0,0,0,0,number
dnk,1977,0,0,0,0,0,0,0,number
dom,1977,0,0,0,0,0,0,0,number
dza,1977,0,0,0,0,0,0,0,number
ecu,1977,0,0,0,0,0,0,0,number
egy,1977,0,0,0,0,0,0,0,number
esp,1977,0,0,0,0,0,0,0,number
est,1977,0,0,0,0,0,0,0,number
fin,1977,0,0,0,0,0,0,0,number
fra,1977,0,0,0,0,0,0,0,number
gbr,1977,0,0,0,0,0,0,0,number
gha,1977,0,0,0,0,0,0,0,number
grc,1977,0,0,0,0,0,0,0,number
gtm,1977,0,0,0,0,0,0,0,number
hrv,1977,0,0,0,0,0,0,0,number
hun,1977,0,0,0,0,0,0,0,number
idn,1977,0,0,0,0,0,0,0,number
ind,1977,0,0,0,0,0,0,0,number
irl,1977,0,0,0,0,0,0,0,number
irn,1977,0,0,0,0,0,0,0,number
isr,1977,0,0,0,0,0,0,0,number
ita,1977,0,0,0,0,0,0,0,number
jor,1977,0,0,0,0,0,0,0,number
jpn,1977,0,0,0,0,0,0,0,number
kaz,1977,0,0,0,0,0,0,0,number
ken,1977,0,0,0,0,0,0,0,number
kor,1977,0,0,0,0,0,0,0,number
lby,1977,0,0,0,0,0,0,0,number
lka,1977,0,0,0,0,0,0,0,number
lux,1977,0,0,0,0,0,0,0,number
lva,1977,0,0,0,0,0,0,0,number
mar,1977,0,0,0,0,0,0,0,number
mda,1977,0,0,0,0,0,0,0,number
mex,1977,0,0,0,0,0,0,0,number
mkd,1977,0,0,0,0,0,0,0,number
mmr,1977,0,0,0,0,0,0,0,number
mys,1977,0,0,0,0,0,0,0,number
nld,1977,0,0,0,0,0,0,0,number
nor,1977,0,0,0,0,0,0,0,number
nzl,1977,0,0,0,0,0,0,0,number
pak,1977,0,0,0,0,0,0,0,number
per,1977,0,0,0,0,0,0,0,number
phl,1977,0,0,0,0,0,0,0,number
pol,1977,0,0,0,0,0,0,0,number
prk,1977,0,0,0,0,0,0,0,number
prt,1977,0,0,0,0,0,0,0,number
pry,1977,0,0,0,0,0,0,0,number
qat,1977,0,0,0,0,0,0,0,number
rom,1977,0,0,0,0,0,0,0,number
rus,1977,0,0,0,0,0,0,0,number
sau,1977,0,0,0,0,0,0,0,number
sgp,1977,0,0,0,0,0,0,0,number
slv,1977,0,0,0,0,0,0,0,number
svk,1977,0,0,0,0,0,0,0,number
svn,1977,0,0,0,0,0,0,0,number
swe,1977,0,0,0,0,0,0,0,number
syr,1977,0,0,0,0,0,0,0,number
tha,1977,0,0,0,0,0,0,0,number
tto,1977,0,0,0,0,0,0,0,number
tun,1977,0,0,0,0,0,0,0,number
tur,1977,0,0,0,0,0,0,0,number
twn,1977,0,0,0,0,0,0,0,number
ukr,1977,0,0,0,0,0,0,0,number
ury,1977,0,0,0,0,0,0,0,number
usa,1977,0,0,0,0,0,0,0,number
uzb,1977,0,0,0,0,0,0,0,number
ven,1977,0,0,0,0,0,0,0,number
vnm,1977,0,0,0,0,0,0,0,number
zaf,1977,0,0,0,0,0,0,0,number
alb,1978,0,0,0,0,0,0,0,number
are,1978,0,0,0,0,0,0,0,number
arg,1978,0,0,0,0,0,0,0,number
aus,1978,0,0,0,0,0,0,0,number
aut,1978,0,0,0,0,0,0,0,number
bel,1978,0,0,0,0,0,0,0,number
bgr,1978,0,0,0,0,0,0,0,number
bih,1978,0,0,0,0,0,0,0,number
blr,1978,0,0,0,0,0,0,0,number
bra,1978,0,0,0,0,0,0,0,number
can,1978,0,0,0,0,0,0,0,number
che,1978,0,0,0,0,0,0,0,number
chl,1978,0,0,0,0,0,0,0,number
chn,1978,0,0,0,0,0,0,0,number
col,1978,0,0,0,0,0,0,0,number
cub,1978,0,0,0,0,0,0,0,number
cze,1978,0,0,0,0,0,0,0,number
deu,1978,0,0,0,0,0,0,0,number
dnk,1978,0,0,0,0,0,0,0,number
dom,1978,0,0,0,0,0,0,0,number
